device,modulation,rep,n_samples_used,mean_power,mean_amplitude,max_amplitude,clip_pct_abs,near_peak_pct,dc_i,dc_q,dc_magnitude,has_nan,has_inf,status
DEV01,BPSK,R1,21099347,0.00100586,0.029034,0.05023,0.0,0.0,-8.3e-05,9.9e-05,0.00013,False,False,PASS
DEV01,BPSK,R2,25591760,0.00110753,0.030808,0.0505,0.0,0.0,2.5e-05,-0.000108,0.000111,False,False,PASS
DEV01,BPSK,R3,23021360,0.00107774,0.029854,0.05413,0.0,0.0,-0.000167,-0.00024,0.000292,False,False,PASS
DEV01,BPSK,R4,25216400,0.00106252,0.029291,0.05154,0.0,0.0,-1.9e-05,-5.3e-05,5.6e-05,False,False,PASS
DEV01,BPSK,R5,20948054,0.00113534,0.030878,0.0521,0.0,0.0,-0.00026,-0.000133,0.000292,False,False,PASS
DEV01,QPSK,R1,23545640,0.00125836,0.034306,0.04649,0.0,0.0,5.6e-05,-0.000161,0.00017,False,False,PASS
DEV01,QPSK,R2,22809200,0.00124384,0.034223,0.04792,0.0,0.0,-1.6e-05,-2.7e-05,3.2e-05,False,False,PASS
DEV01,QPSK,R3,23247800,0.00127154,0.034191,0.05067,0.0,0.0,4.1e-05,-7e-05,8.1e-05,False,False,PASS
DEV01,QPSK,R4,23466080,0.00126234,0.033602,0.04994,0.0,0.0,-0.000214,9e-06,0.000214,False,False,PASS
DEV01,QPSK,R5,23426987,0.00124673,0.033846,0.04938,0.0,0.0,-0.000123,-0.000137,0.000184,False,False,PASS
DEV01,GFSK,R1,24388160,0.00136218,0.0369,0.04012,0.0,0.0,-9.8e-05,0.000296,0.000312,False,False,PASS
DEV01,GFSK,R2,23514749,0.00130576,0.036133,0.03947,0.0,0.0,-0.000132,0.00021,0.000248,False,False,PASS
DEV01,GFSK,R3,24094400,0.00134236,0.036631,0.03962,0.0,0.0,-0.000123,-0.000173,0.000212,False,False,PASS
DEV01,GFSK,R4,24966563,0.00131615,0.036271,0.04042,0.0,0.0,-9.4e-05,-1.2e-05,9.5e-05,False,False,PASS
DEV01,GFSK,R5,26262587,0.0012665,0.035586,0.03897,0.0,0.0,-9.6e-05,-0.00019,0.000213,False,False,PASS
DEV01,OOK,R1,23419160,8e-07,0.000834,0.00272,0.0,0.0,1.3e-05,-5.4e-05,5.6e-05,False,False,WARN: low-power (pwr=8.03e-07) — check OOK flowgraph
DEV01,OOK,R2,20138174,8.5e-07,0.000859,0.00275,0.0,0.0,7.1e-05,2.8e-05,7.6e-05,False,False,WARN: low-power (pwr=8.54e-07) — check OOK flowgraph
DEV01,OOK,R3,24426587,9.1e-07,0.000879,0.00312,0.0,0.0,-0.000208,-0.000218,0.000301,False,False,WARN: low-power (pwr=9.12e-07) — check OOK flowgraph
DEV01,OOK,R4,23933240,8.5e-07,0.000856,0.00272,0.0,0.0,-3.2e-05,-0.000176,0.000179,False,False,WARN: low-power (pwr=8.47e-07) — check OOK flowgraph
DEV01,OOK,R5,23215160,9.6e-07,0.000909,0.00304,0.0,0.0,2.4e-05,0.000142,0.000144,False,False,WARN: low-power (pwr=9.61e-07) — check OOK flowgraph
DEV02,BPSK,R1,24394280,0.00113419,0.030246,0.05385,0.0,0.0,-0.000117,0.000119,0.000166,False,False,PASS
DEV02,BPSK,R2,23751680,0.00115398,0.031527,0.05342,0.0,0.0,0.000132,-0.00023,0.000265,False,False,PASS
DEV02,BPSK,R3,22501160,0.00115365,0.031734,0.04966,0.0,0.0,2.2e-05,-1.2e-05,2.5e-05,False,False,PASS
DEV02,BPSK,R4,23261747,0.00116504,0.031917,0.05372,0.0,0.0,-0.000119,0.000126,0.000173,False,False,PASS
DEV02,BPSK,R5,23688440,0.00116667,0.031288,0.05276,0.0,0.0,-0.000119,6.8e-05,0.000137,False,False,PASS
DEV02,QPSK,R1,22855787,0.00114228,0.031816,0.04424,0.0,0.0,2.5e-05,8.5e-05,8.9e-05,False,False,PASS
DEV02,QPSK,R2,22858160,0.00118123,0.033993,0.04291,0.0,0.0,2.9e-05,-0.000206,0.000209,False,False,PASS
DEV02,QPSK,R3,23470160,0.00116356,0.033992,0.03939,0.0,0.0,-0.000131,-0.000124,0.00018,False,False,PASS
DEV02,QPSK,R4,23015240,0.00112889,0.032543,0.04382,0.0,0.0,8.6e-05,4.1e-05,9.6e-05,False,False,PASS
DEV02,QPSK,R5,22841507,0.00113171,0.032164,0.04951,0.0,0.0,0.000176,-0.000283,0.000333,False,False,PASS
DEV02,GFSK,R1,25008362,0.00099163,0.031483,0.0349,0.0,0.0,0.000135,-0.000195,0.000237,False,False,PASS
DEV02,GFSK,R2,25565615,0.00100831,0.031751,0.03489,0.0,0.0,3.2e-05,-9e-05,9.5e-05,False,False,PASS
DEV02,GFSK,R3,23967920,0.00097658,0.031243,0.03418,0.0,0.0,-5e-06,0.000186,0.000186,False,False,PASS
DEV02,GFSK,R4,23749640,0.00098278,0.031342,0.03435,0.0,0.0,1.9e-05,-0.00027,0.000271,False,False,PASS
DEV02,GFSK,R5,20283347,0.00114985,0.033903,0.03733,0.0,0.0,-8.4e-05,2e-05,8.6e-05,False,False,PASS
DEV02,OOK,R1,23226401,8.2e-07,0.000843,0.00271,0.0,0.0,1e-06,3.7e-05,3.7e-05,False,False,WARN: low-power (pwr=8.21e-07) — check OOK flowgraph
DEV02,OOK,R2,20344880,9.2e-07,0.000887,0.00277,0.0,0.0,-0.000276,-4.4e-05,0.00028,False,False,WARN: low-power (pwr=9.20e-07) — check OOK flowgraph
DEV02,OOK,R3,22205360,8.2e-07,0.000846,0.00277,0.0,0.0,-9.9e-05,1.2e-05,9.9e-05,False,False,WARN: low-power (pwr=8.23e-07) — check OOK flowgraph
DEV02,OOK,R4,23330108,8.9e-07,0.000873,0.0029,0.0,0.0,-0.00018,-2.9e-05,0.000182,False,False,WARN: low-power (pwr=8.89e-07) — check OOK flowgraph
DEV02,OOK,R5,23925080,9.4e-07,0.000894,0.00372,0.0,0.0,8.6e-05,-0.000228,0.000243,False,False,WARN: low-power (pwr=9.39e-07) — check OOK flowgraph
