Modulation,SNR,USRP_Phase1,RTL_ZeroShot_D1,RTL_InDomain_D2,dAcc_D1,RecoverableGap_D2_D1
BPSK,Clean,100.0,49.41,99.52,50.59,50.11
BPSK,SNR 20 dB,100.0,49.41,99.52,50.59,50.11
BPSK,SNR 10 dB,100.0,49.39,99.53,50.61,50.14
BPSK,SNR 0 dB,99.9,49.4,98.93,50.5,49.53
QPSK,Clean,100.0,71.66,91.27,28.34,19.61
QPSK,SNR 20 dB,99.7,71.56,91.23,28.14,19.67
QPSK,SNR 10 dB,98.2,70.84,90.78,27.36,19.94
QPSK,SNR 0 dB,97.9,64.08,84.54,33.82,20.46
GFSK,Clean,100.0,27.89,99.88,72.11,71.99
GFSK,SNR 20 dB,100.0,27.94,99.87,72.06,71.93
GFSK,SNR 10 dB,99.9,28.36,99.8,71.54,71.44
GFSK,SNR 0 dB,98.4,32.62,98.84,65.78,66.22
OOK,Clean,70.5,49.78,96.4,20.72,46.62
OOK,SNR 20 dB,70.5,49.77,96.43,20.73,46.66
OOK,SNR 10 dB,70.3,49.68,96.61,20.62,46.93
OOK,SNR 0 dB,64.9,47.63,95.0,17.27,47.37
