Modulation,SNR,Acc_USRP,Acc_RTL_D1,dAcc
BPSK,Clean,100.0,49.41,50.59
BPSK,SNR 20 dB,100.0,49.41,50.59
BPSK,SNR 10 dB,100.0,49.39,50.61
BPSK,SNR 0 dB,99.9,49.4,50.5
QPSK,Clean,100.0,71.66,28.34
QPSK,SNR 20 dB,99.7,71.56,28.14
QPSK,SNR 10 dB,98.2,70.84,27.36
QPSK,SNR 0 dB,97.9,64.08,33.82
GFSK,Clean,100.0,27.89,72.11
GFSK,SNR 20 dB,100.0,27.94,72.06
GFSK,SNR 10 dB,99.9,28.36,71.54
GFSK,SNR 0 dB,98.4,32.62,65.78
OOK,Clean,70.5,49.78,20.72
OOK,SNR 20 dB,70.5,49.77,20.73
OOK,SNR 10 dB,70.3,49.68,20.62
OOK,SNR 0 dB,64.9,47.63,17.27
