device,modulation,rep,cfo_hz,dc_i,dc_q,dc_magnitude,amp_mean,amp_std,amp_skew,amp_kurt,rms,amp_max
DEV01,BPSK,R1,273.9966,-0.0,-0.0002,0.0002,0.0332,0.0137,-0.67,-0.2529,0.0359,0.056013114750385284
DEV01,BPSK,R2,536.9999,0.0,0.0,0.0001,0.0329,0.0127,-1.1048,0.496,0.0353,0.05209518224000931
DEV01,BPSK,R3,298.5749,0.0003,0.0001,0.0003,0.0345,0.0155,-0.6695,-0.562,0.0378,0.05867573618888855
DEV01,BPSK,R4,563.2138,-0.0,0.0002,0.0002,0.0374,0.0076,-1.9155,4.9719,0.0381,0.05129659175872803
DEV01,BPSK,R5,379.4589,-0.0,0.0001,0.0001,0.0341,0.0119,-0.8873,0.0624,0.0361,0.05154885724186897
DEV01,GFSK,R1,-25158.7852,0.0001,-0.0004,0.0004,0.0356,0.0007,0.2132,-0.6239,0.0356,0.038036495447158813
DEV01,GFSK,R2,-22118.2051,-0.0001,-0.0002,0.0002,0.0356,0.0007,0.0309,7.6546,0.0356,0.03977235406637192
DEV01,GFSK,R3,-8727.4521,-0.0001,-0.0001,0.0001,0.0329,0.0007,-0.0475,8.7374,0.0329,0.035400014370679855
DEV01,GFSK,R4,1053.5094,0.0,-0.0002,0.0002,0.0323,0.0004,0.0043,-0.0219,0.0323,0.03412242606282234
DEV01,GFSK,R5,13207.2764,0.0001,0.0002,0.0002,0.0351,0.0007,0.2318,-0.8083,0.0351,0.037468526512384415
DEV01,OOK,R1,528.747,-0.0001,-0.0,0.0001,0.001,0.0003,0.0825,-0.1203,0.001,0.0023929306771606207
DEV01,OOK,R2,408.0843,0.0,0.0,0.0,0.0008,0.0003,0.1199,-0.1194,0.0009,0.0022657804656773806
DEV01,OOK,R3,328.153,0.0,0.0002,0.0002,0.001,0.0004,0.1623,-0.2017,0.001,0.0027168323285877705
DEV01,OOK,R4,146.4145,-0.0003,-0.0001,0.0003,0.0009,0.0004,0.1964,-0.2603,0.001,0.002839369000867009
DEV01,OOK,R5,0.0,0.0004,-0.0002,0.0004,0.001,0.0005,0.3505,-0.2491,0.0011,0.003664508229121566
DEV01,QPSK,R1,-58599.9102,-0.0003,-0.0001,0.0003,0.0348,0.0045,-1.0942,0.313,0.0351,0.04164939373731613
DEV01,QPSK,R2,-59312.1055,0.0001,0.0,0.0001,0.0348,0.0046,-1.0648,0.4649,0.0351,0.04192038252949715
DEV01,QPSK,R3,47102.1211,-0.0,-0.0,0.0001,0.0337,0.0097,-1.0894,0.6297,0.0351,0.04872099682688713
DEV01,QPSK,R4,711.5902,0.0,0.0,0.0001,0.0282,0.0032,0.5023,-0.8749,0.0284,0.035846810787916183
DEV01,QPSK,R5,2313.0386,-0.0,-0.0002,0.0002,0.0266,0.0095,-0.5454,-0.7656,0.0283,0.040470995008945465
DEV02,BPSK,R1,866.4189,0.0002,-0.0001,0.0002,0.0241,0.0069,-1.3941,1.5228,0.0251,0.03366096690297127
DEV02,BPSK,R2,795.6113,0.0001,0.0003,0.0003,0.0227,0.0073,-1.0899,1.1197,0.0238,0.03604918718338013
DEV02,BPSK,R3,874.2819,0.0,-0.0002,0.0002,0.0254,0.0077,-1.5937,2.5598,0.0265,0.03603200241923332
DEV02,BPSK,R4,796.2502,0.0,0.0,0.0,0.0278,0.0143,-0.2728,-1.128,0.0313,0.05017144978046417
DEV02,BPSK,R5,814.6713,0.0001,-0.0001,0.0001,0.0285,0.0126,-0.6508,-0.5906,0.0312,0.047989316284656525
DEV02,GFSK,R1,1602.6143,0.0,-0.0001,0.0001,0.0349,0.0003,0.0026,0.0027,0.0349,0.036486510187387466
DEV02,GFSK,R2,-21112.5234,-0.0001,-0.0001,0.0001,0.0339,0.0007,-0.3382,10.5372,0.034,0.03632355481386185
DEV02,GFSK,R3,-11782.0166,0.0001,0.0001,0.0002,0.0358,0.0007,-0.0657,-0.4307,0.0358,0.0385439358651638
DEV02,GFSK,R4,25851.0039,-0.0,-0.0,0.0,0.0359,0.0007,-0.3371,9.9862,0.0359,0.03929457068443298
DEV02,GFSK,R5,-25353.9082,-0.0,0.0001,0.0001,0.0321,0.0007,-0.0795,-0.4025,0.0321,0.034674834460020065
DEV02,OOK,R1,376.2462,-0.0002,-0.0002,0.0003,0.0009,0.0004,0.3631,-0.1921,0.0009,0.0028275353834033012
DEV02,OOK,R2,740.2485,0.0001,0.0002,0.0002,0.0009,0.0003,0.1802,-0.2394,0.0009,0.002707904437556863
DEV02,OOK,R3,629.0674,-0.0001,0.0001,0.0002,0.0008,0.0003,0.1671,-0.1951,0.0009,0.002377311000600457
DEV02,OOK,R4,210.5256,-0.0001,0.0003,0.0003,0.0008,0.0004,0.2376,-0.2656,0.0009,0.002629023278132081
DEV02,OOK,R5,568.0024,0.0,0.0,0.0,0.0008,0.0003,0.182,-0.18,0.0008,0.0022976198233664036
DEV02,QPSK,R1,483.36,0.0001,-0.0001,0.0002,0.0327,0.0096,-1.6551,2.8785,0.0341,0.04523296281695366
DEV02,QPSK,R2,11025.2285,-0.0001,-0.0,0.0001,0.03,0.0088,-1.4774,2.3908,0.0313,0.044138628989458084
DEV02,QPSK,R3,804.7883,0.0002,-0.0002,0.0003,0.0306,0.0089,-1.3755,1.5029,0.0319,0.04208461567759514
DEV02,QPSK,R4,43089.8867,0.0,0.0002,0.0002,0.0279,0.0074,-1.2848,1.5073,0.0288,0.037467435002326965
DEV02,QPSK,R5,-26515.3418,0.0003,-0.0003,0.0004,0.027,0.0104,-0.6331,-0.4317,0.0289,0.04398351162672043
