device,modulation,rep,n_samples_used,mean_power,mean_amplitude,max_amplitude,clip_pct_abs,near_peak_pct,dc_i,dc_q,dc_magnitude,has_nan,has_inf,status
DEV01,BPSK,R1,19283747,0.00128807,0.033205,0.05638,0.0,0.0,-4e-06,-0.000181,0.000181,False,False,PASS
DEV01,BPSK,R2,23898560,0.00125637,0.03322,0.05243,0.0,0.0,2.1e-05,-2.6e-05,3.3e-05,False,False,PASS
DEV01,BPSK,R3,24269507,0.00142746,0.034597,0.05934,0.0,0.0,0.000112,-1.6e-05,0.000113,False,False,PASS
DEV01,BPSK,R4,24049520,0.00145188,0.037275,0.05154,0.0,0.0,-3.5e-05,0.000136,0.000141,False,False,PASS
DEV01,BPSK,R5,19383707,0.00130992,0.034053,0.05205,0.0,0.01,-1.3e-05,-3.2e-05,3.5e-05,False,False,PASS
DEV01,QPSK,R1,23816960,0.00123462,0.034845,0.04208,0.0,0.0,-0.000318,-0.00016,0.000355,False,False,PASS
DEV01,QPSK,R2,25340507,0.00123172,0.034793,0.04203,0.0,0.0,3.5e-05,1e-06,3.5e-05,False,False,PASS
DEV01,QPSK,R3,23484440,0.00123069,0.033627,0.04898,0.0,0.0,-3.3e-05,-0.000204,0.000207,False,False,PASS
DEV01,QPSK,R4,23421200,0.0008145,0.028355,0.03646,0.0,0.0,8.5e-05,-5.8e-05,0.000103,False,False,PASS
DEV01,QPSK,R5,21838160,0.00083049,0.02707,0.04439,0.0,0.0,-0.000135,-0.000196,0.000238,False,False,PASS
DEV01,GFSK,R1,21905480,0.00127085,0.035642,0.03867,0.0,0.0,4.9e-05,-0.000376,0.000379,False,False,PASS
DEV01,GFSK,R2,22643627,0.00127966,0.035765,0.03977,0.0,0.0,6e-06,-0.000172,0.000172,False,False,PASS
DEV01,GFSK,R3,22993508,0.00108734,0.032967,0.03693,0.0,0.0,-0.000163,-0.000188,0.000249,False,False,PASS
DEV01,GFSK,R4,22909160,0.00104535,0.032329,0.03476,0.0,0.0,-7.5e-05,-0.000251,0.000262,False,False,PASS
DEV01,GFSK,R5,22764320,0.00123492,0.035135,0.03771,0.0,0.0,-4.2e-05,5.5e-05,6.9e-05,False,False,PASS
DEV01,OOK,R1,18414707,1.01e-06,0.000948,0.00283,0.0,0.0,-9.2e-05,-9.8e-05,0.000134,False,False,PASS
DEV01,OOK,R2,22003400,7.9e-07,0.000836,0.00259,0.0,0.0,-7e-05,-0.000137,0.000153,False,False,WARN: low-power (pwr=7.94e-07) — check OOK flowgraph
DEV01,OOK,R3,22552160,1.12e-06,0.000983,0.00337,0.0,0.0,-0.000148,0.000211,0.000258,False,False,PASS
DEV01,OOK,R4,22241747,1.01e-06,0.000926,0.00333,0.0,0.0,-0.000263,-0.000131,0.000294,False,False,PASS
DEV01,OOK,R5,21830000,1.05e-06,0.000934,0.00366,0.0,0.0,0.000241,-0.000162,0.000291,False,False,PASS
